Variable,Value
Avg clustering coefficient,0.043089754557576604
Avg degree centrality,1.5854531291798947e-05
Var degree centrality,1.939742693452665e-08
Avg closeness centrality,0.0384104239246318
Var closeness centrality,0.0021574683000541045
Avg betweeness centrality,7.278431781416028e-06
Var betweeness centrality,4.102881989576e-08
Graph diameter,9
Giant component size,32330
