Variable,Value
Avg clustering coefficient,0.6362077035289819
Avg degree centrality,0.17141564902758932
Var degree centrality,0.03756156514414074
Avg closeness centrality,0.42921340004054237
Var closeness centrality,0.028805634389409446
Avg betweeness centrality,0.011397557666214383
Var betweeness centrality,0.0008358765062730166
Graph diameter,4
Giant component size,60
